algorithm,episodes,alpha,gamma,epsilon,episode,reward,steps,reached
sarsa,600,0.1,0.99,0.1,106,8.1000,9,1
sarsa,600,0.1,0.99,0.1,107,9.0000,10,1
sarsa,600,0.1,0.99,0.1,108,6.8000,12,1
sarsa,600,0.1,0.99,0.1,109,7.9000,11,1
sarsa,600,0.1,0.99,0.1,110,9.2000,8,1
sarsa,600,0.1,0.99,0.1,111,9.2000,8,1
sarsa,600,0.1,0.99,0.1,112,9.2000,8,1
sarsa,600,0.1,0.99,0.1,113,9.0000,10,1
sarsa,600,0.1,0.99,0.1,114,9.0000,10,1
sarsa,600,0.1,0.99,0.1,115,9.2000,8,1
sarsa,600,0.1,0.99,0.1,116,9.2000,8,1
sarsa,600,0.1,0.99,0.1,117,8.1000,9,1
sarsa,600,0.1,0.99,0.1,118,6.8000,12,1
sarsa,600,0.1,0.99,0.1,119,9.2000,8,1
sarsa,600,0.1,0.99,0.1,120,9.2000,8,1
sarsa,600,0.1,0.99,0.1,121,9.0000,10,1
sarsa,600,0.1,0.99,0.1,122,9.2000,8,1
sarsa,600,0.1,0.99,0.1,123,9.0000,10,1
sarsa,600,0.1,0.99,0.1,124,9.0000,10,1
sarsa,600,0.1,0.99,0.1,125,9.2000,8,1
sarsa,600,0.1,0.99,0.1,126,9.2000,8,1
sarsa,600,0.1,0.99,0.1,127,8.1000,9,1
sarsa,600,0.1,0.99,0.1,128,8.8000,12,1
sarsa,600,0.1,0.99,0.1,129,9.2000,8,1
sarsa,600,0.1,0.99,0.1,130,9.0000,10,1
sarsa,600,0.1,0.99,0.1,131,9.2000,8,1
sarsa,600,0.1,0.99,0.1,132,9.2000,8,1
sarsa,600,0.1,0.99,0.1,133,9.2000,8,1
sarsa,600,0.1,0.99,0.1,134,9.2000,8,1
sarsa,600,0.1,0.99,0.1,135,9.0000,10,1
sarsa,600,0.1,0.99,0.1,136,9.2000,8,1
sarsa,600,0.1,0.99,0.1,137,9.2000,8,1
sarsa,600,0.1,0.99,0.1,138,8.6000,14,1
sarsa,600,0.1,0.99,0.1,139,9.2000,8,1
sarsa,600,0.1,0.99,0.1,140,9.2000,8,1
sarsa,600,0.1,0.99,0.1,141,9.2000,8,1
sarsa,600,0.1,0.99,0.1,142,9.2000,8,1
sarsa,600,0.1,0.99,0.1,143,8.8000,12,1
sarsa,600,0.1,0.99,0.1,144,9.2000,8,1
sarsa,600,0.1,0.99,0.1,145,9.2000,8,1
sarsa,600,0.1,0.99,0.1,146,9.2000,8,1
sarsa,600,0.1,0.99,0.1,147,9.2000,8,1
sarsa,600,0.1,0.99,0.1,148,9.0000,10,1
sarsa,600,0.1,0.99,0.1,149,9.2000,8,1
sarsa,600,0.1,0.99,0.1,150,9.0000,10,1
sarsa,600,0.1,0.99,0.1,151,9.2000,8,1
