algorithm,episodes,alpha,gamma,epsilon,episode,reward,steps,reached
qlearning,500,0.1,0.99,0.1,106,9.2000,8,1
qlearning,500,0.1,0.99,0.1,107,9.2000,8,1
qlearning,500,0.1,0.99,0.1,108,8.1000,9,1
qlearning,500,0.1,0.99,0.1,109,8.8000,12,1
qlearning,500,0.1,0.99,0.1,110,9.2000,8,1
qlearning,500,0.1,0.99,0.1,111,7.9000,11,1
qlearning,500,0.1,0.99,0.1,112,9.2000,8,1
qlearning,500,0.1,0.99,0.1,113,9.2000,8,1
qlearning,500,0.1,0.99,0.1,114,8.1000,9,1
qlearning,500,0.1,0.99,0.1,115,9.2000,8,1
qlearning,500,0.1,0.99,0.1,116,9.2000,8,1
qlearning,500,0.1,0.99,0.1,117,7.7000,13,1
qlearning,500,0.1,0.99,0.1,118,9.2000,8,1
qlearning,500,0.1,0.99,0.1,119,8.1000,9,1
qlearning,500,0.1,0.99,0.1,120,9.2000,8,1
qlearning,500,0.1,0.99,0.1,121,9.2000,8,1
qlearning,500,0.1,0.99,0.1,122,8.1000,9,1
qlearning,500,0.1,0.99,0.1,123,9.2000,8,1
qlearning,500,0.1,0.99,0.1,124,8.1000,9,1
qlearning,500,0.1,0.99,0.1,125,9.2000,8,1
qlearning,500,0.1,0.99,0.1,126,9.2000,8,1
qlearning,500,0.1,0.99,0.1,127,7.9000,11,1
qlearning,500,0.1,0.99,0.1,128,8.1000,9,1
qlearning,500,0.1,0.99,0.1,129,9.2000,8,1
qlearning,500,0.1,0.99,0.1,130,9.0000,10,1
qlearning,500,0.1,0.99,0.1,131,7.9000,11,1
qlearning,500,0.1,0.99,0.1,132,9.2000,8,1
qlearning,500,0.1,0.99,0.1,133,9.0000,10,1
qlearning,500,0.1,0.99,0.1,134,9.2000,8,1
qlearning,500,0.1,0.99,0.1,135,7.7000,13,1
qlearning,500,0.1,0.99,0.1,136,9.2000,8,1
qlearning,500,0.1,0.99,0.1,137,9.2000,8,1
qlearning,500,0.1,0.99,0.1,138,9.2000,8,1
qlearning,500,0.1,0.99,0.1,139,9.2000,8,1
qlearning,500,0.1,0.99,0.1,140,9.2000,8,1
qlearning,500,0.1,0.99,0.1,141,9.2000,8,1
qlearning,500,0.1,0.99,0.1,142,9.2000,8,1
qlearning,500,0.1,0.99,0.1,143,8.1000,9,1
qlearning,500,0.1,0.99,0.1,144,8.1000,9,1
qlearning,500,0.1,0.99,0.1,145,9.2000,8,1
